Area,Access,Category,PackedWord,AddressWidth,SuggestedStepHex,Generic,TOYOPUC-Plus:Plus Standard mode,TOYOPUC-Plus:Plus Extended mode,Nano 10GX:Nano 10GX mode,Nano 10GX:Compatible mode,PC10G:PC10 standard/PC3JG mode,PC10G:PC10 mode,PC3JX:PC3 separate mode,PC3JX:Plus expansion mode,PC3JG:PC3JG mode,PC3JG:PC3 separate mode
P,prefixed,basic bit,yes,4,0x10,"0000-01FF,1000-17FF",0000-01FF,0000-01FF,"0000-01FF,1000-17FF","0000-01FF,1000-17FF",0000-01FF,"0000-01FF,1000-17FF",0000-01FF,0000-01FF,0000-01FF,0000-01FF
K,prefixed,basic bit,yes,4,0x10,0000-02FF,0000-02FF,0000-02FF,0000-02FF,0000-02FF,0000-02FF,0000-02FF,0000-02FF,0000-02FF,0000-02FF,0000-02FF
V,prefixed,basic bit,yes,4,0x10,"0000-00FF,1000-17FF",0000-00FF,0000-00FF,"0000-00FF,1000-17FF","0000-00FF,1000-17FF",0000-00FF,"0000-00FF,1000-17FF",0000-00FF,0000-00FF,0000-00FF,0000-00FF
T,prefixed,basic bit,yes,4,0x10,"0000-01FF,1000-17FF",0000-01FF,0000-01FF,"0000-01FF,1000-17FF","0000-01FF,1000-17FF",0000-01FF,"0000-01FF,1000-17FF",0000-01FF,0000-01FF,0000-01FF,0000-01FF
C,prefixed,basic bit,yes,4,0x10,"0000-01FF,1000-17FF",0000-01FF,0000-01FF,"0000-01FF,1000-17FF","0000-01FF,1000-17FF",0000-01FF,"0000-01FF,1000-17FF",0000-01FF,0000-01FF,0000-01FF,0000-01FF
L,prefixed,basic bit,yes,4,0x10,"0000-07FF,1000-2FFF",0000-07FF,0000-07FF,"0000-07FF,1000-2FFF","0000-07FF,1000-2FFF",0000-07FF,"0000-07FF,1000-2FFF",0000-07FF,0000-07FF,0000-07FF,0000-07FF
X,prefixed,basic bit,yes,4,0x10,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF
Y,prefixed,basic bit,yes,4,0x10,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF
M,prefixed,basic bit,yes,4,0x10,"0000-07FF,1000-17FF",0000-07FF,0000-07FF,"0000-07FF,1000-17FF","0000-07FF,1000-17FF",0000-07FF,"0000-07FF,1000-17FF",0000-07FF,0000-07FF,0000-07FF,0000-07FF
S,prefixed,basic word,no,4,0x10,"0000-03FF,1000-13FF",0000-03FF,0000-03FF,"0000-03FF,1000-13FF","0000-03FF,1000-13FF",0000-03FF,"0000-03FF,1000-13FF",0000-03FF,0000-03FF,0000-03FF,0000-03FF
N,prefixed,basic word,no,4,0x10,"0000-01FF,1000-17FF",0000-01FF,0000-01FF,"0000-01FF,1000-17FF","0000-01FF,1000-17FF",0000-01FF,"0000-01FF,1000-17FF",0000-01FF,0000-01FF,0000-01FF,0000-01FF
R,prefixed,basic word,no,4,0x10,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF
D,prefixed,basic word,no,4,0x10,0000-2FFF,0000-0FFF,0000-0FFF,0000-2FFF,0000-2FFF,0000-0FFF,0000-2FFF,0000-2FFF,0000-0FFF,0000-0FFF,0000-0FFF
B,direct,basic word,no,4,0x10,0000-1FFF,-,-,-,-,0000-1FFF,0000-1FFF,0000-1FFF,-,0000-1FFF,0000-1FFF
EP,direct,ext bit,yes,4,0x10,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF
EK,direct,ext bit,yes,4,0x10,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF
EV,direct,ext bit,yes,4,0x10,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF,0000-0FFF
ET,direct,ext bit,yes,4,0x10,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF
EC,direct,ext bit,yes,4,0x10,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF
EL,direct,ext bit,yes,4,0x10,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF
EX,direct,ext bit,yes,4,0x10,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF
EY,direct,ext bit,yes,4,0x10,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF,0000-07FF
EM,direct,ext bit,yes,4,0x10,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF,0000-1FFF
GM,direct,ext bit,yes,4,0x10,0000-FFFF,-,0000-FFFF,0000-FFFF,0000-FFFF,0000-FFFF,0000-FFFF,-,0000-FFFF,0000-FFFF,0000-FFFF
GX,direct,ext bit,yes,4,0x10,0000-FFFF,-,0000-FFFF,0000-FFFF,0000-FFFF,0000-FFFF,0000-FFFF,-,0000-FFFF,0000-FFFF,0000-FFFF
GY,direct,ext bit,yes,4,0x10,0000-FFFF,-,0000-FFFF,0000-FFFF,0000-FFFF,0000-FFFF,0000-FFFF,-,0000-FFFF,0000-FFFF,0000-FFFF
ES,direct,ext word,no,5,0x100,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF
EN,direct,ext word,no,5,0x100,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF
H,direct,ext word,no,5,0x100,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF,00000-007FF
U,direct,ext word,no,5,0x100,00000-1FFFF,-,00000-07FFF,00000-1FFFF,00000-1FFFF,00000-07FFF,00000-1FFFF,00000-07FFF,00000-07FFF,00000-07FFF,00000-07FFF
EB,direct,ext word,no,5,0x100,00000-3FFFF,-,-,00000-3FFFF,00000-3FFFF,00000-1FFFF,00000-3FFFF,-,-,00000-1FFFF,00000-1FFFF
FR,direct,fr word,no,6,0x1000,000000-1FFFFF,-,-,000000-1FFFFF,000000-1FFFFF,-,000000-1FFFFF,-,-,-,-
